회사명,종목코드,업종
POSCO홀딩스,005490,1차 철강
삼진제약,005500,의약품 제조
SPC삼립,005610,기타 식품 제조
푸드웰,005670,"과실, 채소 가공 및 저장 처리"
삼영전자공업,005680,전자부품 제조
파미셀,005690,의약물 제조
대원산업,005710,자동차 부품
넥센,005720,고무제품 제조
크라운해태홀딩스,005740,기타 금융
대림비앤코,005750,"내화, 비내화 요업제품 제조"
신영와코루,005800,의복 제조
풍산홀딩스,005810,기타 금융
원림,005820,직물제품 제조
DB손해보험,005830,보험
에스엘,005850,자동차 부품
한일사료,005860,사료 제조
휴니드테크놀러지스,005870,통신 장비 제조
대한해운,005880,해상 운송
삼성전자,005930,통신 장비 제조
NH투자증권,005940,금융 지원
이수화학,005950,화학물질 제조
동부건설,005960,토목 건설
매일홀딩스,005990,유제품 및 빙과류 제조
동원산업,006040,어업
국영지앤엠,006050,유리제품 제조
화승인더스트리,006060,플라스틱제품 제조
사조오양,006090,수산물 가공
삼아알미늄,006110,1차 비철금속 제조
SK디스커버리,006120,기타 금융
피제이전자,006140,의료기기 제조
한국전자홀딩스,006200,기타 금융
제주은행,006220,은행
LS,006260,기타 금융
녹십자,006280,의약품 제조
대원전선,006340,케이블 제조
GS건설,006360,건물 건설
대구백화점,006370,종합 소매
카프로,006380,화학물질 제조
한일현대시멘트,006390,"시멘트, 석회, 플라스터"
삼성SDI,006400,배터리 제조
인스코비,006490,전기 통신
대림통상,006570,금속 가공
대양제지,006580,"펄프, 종이 및 판지 제조"
동구바이오제약,006620,의약품 제조
대한유화,006650,화학물질 제조
삼성공조,006660,자동차 부품
서부T&D,006730,숙박시설 운영
영풍제지,006740,종이 제품 제조
미래에셋증권,006800,금융 지원
AK홀딩스,006840,기타 금융
신송홀딩스,006880,농·축산물 도매
태경케미컬,006890,화학물질 제조
보성파워텍,006910,구조용 금속제품 제조
모헨즈,006920,"시멘트, 석회, 플라스터"
우성,006980,곡물가공품 제조
GS리테일,007070,종합 소매
일신석재,007110,건축자재 도매
미래아이앤지,007120,컴퓨터 시스템 관리
사조산업,007160,어업
벽산,007210,비금속 광물 제조
한국특강,007280,1차 철강
오뚜기,007310,기타 식품 제조
푸른저축은행,007330,은행
