회사명,종목코드,업종
티로보틱스,117730,특수 목적용 기계 제조
초록뱀헬스케어,118000,기계장비 도매
모트렉스,118990,자동차 부품
포메탈,119500,금속 가공
인터로조,119610,의료기기 제조
KC코트렐,119650,일반 목적용 기계 제조
아이텍,119830,과학 및 기술 서비스
지엔씨에너지,119850,전기 장치 제조
다나와,119860,소프트웨어 개발
조선선재,120030,금속 가공
코오롱인더,120110,화학섬유 제조
대정화금,120240,화학물질 제조
유니포인트,121060,컴퓨터 시스템 관리
골프존뉴딘홀딩스,121440,상품 중개
나노신소재,121600,화학제품
비덴트,121800,통신 장비 제조
코이즈,121850,플라스틱제품 제조
에스디시스템,121890,전자부품 제조
제노레이,122310,의료기기 제조
삼기,122350,자동차 부품
KMH,122450,텔레비전 방송
예스티,122640,특수 목적용 기계 제조
서진오토모티브,122690,자동차 부품
원포유,122830,전기 통신
와이지엔터테인먼트,122870,음반 제작
아이마켓코리아,122900,상품 종합 도매
와이솔,122990,전자부품 제조
폴라리스웍스,123010,전자부품 제조
엠에스오토텍,123040,자동차 부품
제닉,123330,화학제품
코리아에프티,123410,자동차 부품
위메이드플레이,123420,소프트웨어 개발
이엠넷,123570,광고
한국화장품,123690,생활용품 도매
에스제이엠,123700,자동차 부품
알톤스포츠,123750,운송장비 제조
한일진공,123840,특수 목적용 기계 제조
아나패스,123860,반도체 제조
한국자산신탁,123890,신탁 및 집합투자
아이티센,124500,컴퓨터 시스템 관리
태웅로직스,124560,운송 서비스
아모그린텍,125210,전자부품 제조
비나텍,126340,배터리 제조
현대퓨처넷,126560,텔레비전 방송
코프라,126600,합성고무 및 플라스틱 제조
화신정공,126640,자동차 부품
하이비젼시스템,126700,광학기기 제조
뉴로스,126870,일반 목적용 기계 제조
제이엔케이히터,126880,일반 목적용 기계 제조
디엔에이링크,127120,연구개발
매직마이크로,127160,전자부품 제조
아시아경제,127710,인터넷 정보매개 서비스
에코캡,128540,자동차 부품
피제이메탈,128660,1차 비철금속 제조
대성산업,128820,연료 소매
한미약품,128940,의약품 제조
인터지스,129260,도로 화물 운송
앱코,129890,컴퓨터 주변장치 제조
GH신소재,130500,섬유제품 제조
나이스디앤비,130580,사업지원 서비스
한전산업,130660,건축기술
티피씨글로벌,130740,자동차 부품
디에이치피코리아,131030,의약품 제조
시큐브,131090,소프트웨어 개발
스카이이앤엠,131100,상품 종합 도매
딜리,131180,컴퓨터 주변장치 제조
대한과학,131220,기계장비 도매
티에스이,131290,정밀기기 제조
알서포트,131370,소프트웨어 개발
원익피앤이,131390,전기 장치 제조
이브이첨단소재,131400,전자부품 제조
파인텍,131760,특수 목적용 기계 제조
테스나,131970,과학 및 기술 서비스
메가엠디,133750,교습 학원
화인베스틸,133820,1차 철강
이퓨쳐,134060,인쇄물 출판
미원화학,134380,화학제품
탑코미디어,134580,통신 장비 제조
시디즈,134790,가구 제조
지오씨,135160,케이블 제조
아셈스,136410,플라스틱제품 제조
하림,136480,도축 및 육류 가공
선진,136490,사료 제조
에디슨EV,136510,특수 목적용 기계 제조
윈스,136540,컴퓨터 시스템 관리
큐엠씨,136660,특수 목적용 기계 제조
나래나노텍,137080,특수 목적용 기계 제조
에스디바이오센서,137310,의료기기 제조
피엔티,137400,특수 목적용 기계 제조
넥스트아이,137940,정밀기기 제조
제이씨케미칼,137950,화학제품
메리츠금융지주,138040,기타 금융
신진에스엠,138070,금속 가공
오이솔루션,138080,통신 장비 제조
협진,138360,화학제품
코오롱플라스틱,138490,합성고무 및 플라스틱 제조
비즈니스온,138580,소프트웨어 개발
나이벡,138610,의료용품 제조
엘아이에스,138690,특수 목적용 기계 제조
BNK금융지주,138930,기타 금융
시티랩스,139050,컴퓨터 시스템 관리
DGB금융지주,139130,기타 금융
이마트,139480,종합 소매
키네마스터,139670,소프트웨어 개발
아주스틸,139990,1차 철강
서플러스글로벌,140070,기계장비 도매
청광건설,140290,토목 건설
메지온,140410,연구개발
대창스틸,140520,1차 철강
엔솔바이오사이언스,140610,연구개발
위월드,140660,통신 장비 제조
알에스오토메이션,140670,전자부품 제조
파크시스템스,140860,정밀기기 제조
에이리츠,140910,부동산
비아트론,141000,특수 목적용 기계 제조
디에스앤엘,141020,무점포 소매
레고켐바이오,141080,연구개발
유니트론텍,142210,자동차 부품
녹십자엠에스,142280,의료용품 제조
비엘,142760,연구개발
아이디스,143160,통신 장비 제조
핸즈코퍼레이션,143210,자동차 부품
사람인에이치알,143240,인터넷 정보매개 서비스
영우디에스피,143540,특수 목적용 기계 제조
지씨셀,144510,과학 및 기술 서비스
뉴파워프라즈마,144960,특수 목적용 기계 제조
휴젤,145020,의약물 제조
다이나믹디자인,145210,특수 목적용 기계 제조
케이탑리츠,145270,부동산
덴티움,145720,의료기기 제조
삼양사,145990,기타 식품 제조
비씨엔씨,146320,반도체 제조
마이크로프랜드,147760,정밀기기 제조
제룡산업,147830,구조용 금속제품 제조
비디아이,148140,일반 목적용 기계 제조
세경하이테크,148150,전자부품 제조
알엔투테크놀로지,148250,전자부품 제조
비플라이소프트,148780,소프트웨어 개발
아이케이세미콘,149010,반도체 제조
아퓨어스,149300,의약물 제조
아바텍,149950,전자부품 제조
하이로닉,149980,의료기기 제조
피노텍,150440,소프트웨어 개발
인트로메딕,150840,의료기기 제조
파수,150900,소프트웨어 개발
KG ETS,151860,폐기물 처리
SBW생명과학,151910,전자부품 제조
한국ANKOR유전,152550,신탁 및 집합투자
네이블커뮤니케이션즈,153460,소프트웨어 개발
우리이앤엘,153490,반도체 제조
옵티팜,153710,의료용품 제조
아시아종묘,154030,작물 재배
솔루에타,154040,전자부품 제조
와이엠씨,155650,전자부품 제조
DSR,155660,1차 비철금속 제조
바다로19호,155900,운송장비 임대
엘앤케이바이오,156100,의료기기 제조
참존글로벌,158310,특수 목적용 기계 제조
아톤,158430,소프트웨어 개발
아스플로,159010,일반 목적용 기계 제조
제로투세븐,159580,생활용품 도매
스킨앤스킨,159910,화학제품
NEW,160550,방송 컨텐츠 제작
이큐셀,160600,특수 목적용 기계 제조
싸이맥스,160980,특수 목적용 기계 제조
애경케미칼,161000,화학물질 제조
한국타이어앤테크놀로지,161390,고무제품 제조
THE MIDONG,161570,영상 및 음향기기 제조
필옵틱스,161580,특수 목적용 기계 제조
한국콜마,161890,화학제품
루켄테크놀러지스,162120,전기장비 제조
디피코,163430,자동차 차체 제조
동일고무벨트,163560,고무제품 제조
핑거,163730,소프트웨어 개발
이루다,164060,의료기기 제조
하나머티리얼즈,166090,반도체 제조
코아스템,166480,의약품 제조
내츄럴엔도텍,168330,연구개발
한국패러랠,168490,신탁 및 집합투자
엠브레인,169330,시장조사
코스텍시스템,169670,특수 목적용 기계 제조
현대공업,170030,자동차 부품
파이오링크,170790,통신 장비 제조
동아에스티,170900,의약품 제조
엘티씨,170920,화학물질 제조
램테크놀러지,171010,화학물질 제조
선익시스템,171090,특수 목적용 기계 제조
라이온켐텍,171120,화학제품
오파스넷,173130,컴퓨터 시스템 관리
에프엔씨엔터,173940,창작 및 예술관련
장원테크,174880,통신 장비 제조
앱클론,174900,의료용품 제조
인포마크,175140,통신 장비 제조
아이큐어,175250,의약품 제조
JB금융지주,175330,기타 금융
에이치엔티,176440,전자부품 제조
듀켐바이오,176750,의약품 제조
베셀,177350,특수 목적용 기계 제조
파버나인,177830,전자부품 제조
서진시스템,178320,통신 장비 제조
대동고려삼,178600,기타 식품 제조
유테크,178780,상품 종합 도매
PI첨단소재,178920,플라스틱제품 제조
엠아이텍,179290,의료기기 제조
애드바이오텍,179530,의약품 제조
렌딩머신,179720,소프트웨어 개발
유티아이,179900,전자부품 제조
탑선,180060,전기장비 제조
디엑스앤브이엑스,180400,과학기술 서비스
한진칼,180640,항공 여객 운송
이즈미디어,181340,정밀기기 제조
엔에이치엔,181710,소프트웨어 개발
큐브엔터,182360,음반 제작
엔케이맥스,182400,의약물 제조
테라셈,182690,반도체 제조
아세아시멘트,183190,"시멘트, 석회, 플라스터"
코미코,183300,특수 목적용 기계 제조
골프존데카,183410,정밀기기 제조
엔지켐생명과학,183490,의약물 제조
SGA솔루션즈,184230,소프트웨어 개발
수프로,185190,농·축산물 도매
아이진,185490,연구개발
종근당,185750,의약품 제조
그린플러스,186230,1차 비철금속 제조
디티앤씨,187220,과학기술 서비스
신화콘텍,187270,전기 장치 제조
제노포커스,187420,의약물 제조
에이디엠코리아,187660,연구개발
나노,187790,화학물질 제조
디바이스이엔지,187870,특수 목적용 기계 제조
인텔리안테크,189300,통신 장비 제조
씨이랩,189330,소프트웨어 개발
코셋,189350,통신 장비 제조
포시에스,189690,소프트웨어 개발
서전기전,189860,전기 장치 제조
흥국에프엔비,189980,음료 제조
나무가,190510,전자부품 제조
코리아에셋투자증권,190650,금융 지원
육일씨엔에쓰,191410,전자부품 제조
테고사이언스,191420,의약물 제조
블루탑,191600,전자부품 제조
더블유게임즈,192080,소프트웨어 개발
케이사인,192250,소프트웨어 개발
윈하이텍,192390,구조용 금속제품 제조
쿠쿠홀딩스,192400,기타 금융
THQ,192410,통신 장비 제조
슈피겐코리아,192440,기타 제품 제조
드림텍,192650,전자부품 제조
코스맥스,192820,화학제품
와이제이엠게임즈,193250,전자부품 제조
제이에스코퍼레이션,194370,"가죽, 가방 제조"
데브시스터즈,194480,소프트웨어 개발
노바렉스,194700,기타 식품 제조
마니커에프앤지,195500,도축 및 육류 가공
해성디에스,195870,전자부품 제조
HK이노엔,195940,의약품 제조
에이비프로바이오,195990,특수 목적용 기계 제조
알테오젠,196170,연구개발
애니젠,196300,의약물 제조
코아시아옵틱스,196450,광학기기 제조
디에이테크놀로지,196490,특수 목적용 기계 제조
웹스,196700,합성고무 및 플라스틱 제조
디지캡,197140,소프트웨어 개발
엔피디,198080,전자부품 제조
고려시멘트,198440,"시멘트, 석회, 플라스터"
데이터스트림즈,199150,소프트웨어 개발
바이오프로테크,199290,의료기기 제조
툴젠,199800,연구개발
제일전기공업,199820,전기 장치 제조
콜마비앤에이치,200130,의약물 제조
텔콘RF제약,200230,통신 장비 제조
래몽래인,200350,방송 컨텐츠 제작
에이팩트,200470,과학 및 기술 서비스
메디쎄이,200580,의료기기 제조
휴메딕스,200670,의약품 제조
에이디테크놀로지,200710,반도체 제조
비씨월드제약,200780,의약품 제조
서연이화,200880,자동차 부품
미투온,201490,소프트웨어 개발
판도라티비,202960,소프트웨어 개발
에이비온,203400,연구개발
유니온커뮤니티,203450,통신 장비 제조
드림시큐리티,203650,소프트웨어 개발
프로스테믹스,203690,의약물 제조
그리티,204020,의복 제조
모두투어리츠,204210,부동산
제이앤티씨,204270,전자부품 제조
만도,204320,자동차 부품
글로벌텍스프리,204620,금융 지원
스튜디오산타클로스,204630,창작 및 예술관련
지엘팜텍,204840,연구개발
엑셈,205100,소프트웨어 개발
휴마시스,205470,의료용품 제조
액션스퀘어,205500,소프트웨어 개발
베노홀딩스,206400,소프트웨어 개발
덱스터,206560,방송 컨텐츠 제작
바디텍메드,206640,의료용품 제조
유바이오로직스,206650,의약품 제조
볼빅,206950,골프 용품 제조
에이펙스인텍,207490,조명장치
미스터블루,207760,서비스
삼성바이오로직스,207940,의약물 제조
정다운,208140,도축 및 육류 가공
파멥신,208340,의약품 제조
지란지교시큐리티,208350,소프트웨어 개발
셀바스헬스케어,208370,의료기기 제조
썸에이지,208640,소프트웨어 개발
바이오로그디바이스,208710,전자부품 제조
이비테크,208850,전기장비 제조
엔지스테크널러지,208860,소프트웨어 개발
미래엔에듀파트너,208890,교육지원
빅텐츠,210120,방송 컨텐츠 제작
디와이파워,210540,특수 목적용 기계 제조
SK디앤디,210980,부동산
인카금융서비스,211050,보험
AP위성,211270,통신 장비 제조
휴벡셀,212310,의료기기 제조
네오오토,212560,자동차 부품
덕산네오룩스,213420,전자부품 제조
한솔제지,213500,"펄프, 종이 및 판지 제조"
클래시스,214150,의료기기 제조
민앤지,214180,서비스
라파스,214260,화학제품
FSN,214270,소프트웨어 개발
에스엘바이오닉스,214310,반도체 제조
이노션,214320,광고
금호에이치티,214330,자동차 부품
케어젠,214370,의약물 제조
경보제약,214390,의약물 제조
토니모리,214420,화학제품
아이쓰리시스템,214430,전자부품 제조
파마리서치,214450,의료용품 제조
미코바이오메드,214610,의료기기 제조
디알텍,214680,의료기기 제조
뉴지랩파마,214870,기계장비 도매
골프존,215000,소프트웨어 개발
비엔디생활건강,215050,화학제품
휴센텍,215090,정밀기기 제조
로보로보,215100,전기장비 제조
메가스터디교육,215200,교습 학원
우리산업,215360,자동차 부품
우정바이오,215380,연구개발
토박스코리아,215480,의류 소매업
크로넥스,215570,연구개발
신라젠,215600,연구개발
이노인스트루먼트,215790,통신 장비 제조
인크로스,216050,광고
제테마,216080,의료용품 제조
원텍,216280,의료기기 제조
인바이츠바이오코아,216400,연구개발
제너셈,217190,특수 목적용 기계 제조
넵튠,217270,소프트웨어 개발
썬테크,217320,전기 장치 제조
싸이토젠,217330,연구개발
에스디생명공학,217480,화학제품
러셀,217500,특수 목적용 기계 제조
켐온,217600,연구개발
디딤,217620,음식점
강스템바이오텍,217730,의약물 제조
엔에스,217820,특수 목적용 기계 제조
틸론,217880,소프트웨어 개발
에스제이켐,217910,화학물질 제조
파마리서치바이오,217950,의약품 제조
미래생명자원,218150,사료 제조
RFHIC,218410,통신 장비 제조
타이거일렉,219130,전자부품 제조
링크제니시스,219420,소프트웨어 개발
디와이디,219550,생활용품 도매
지티지웰니스,219750,의료기기 제조
퓨쳐켐,220100,의약품 제조
핸디소프트,220180,소프트웨어 개발
켐트로스,220260,화학제품
맘스터치,220630,음·식료품 도매
유투바이오,221800,과학기술 서비스
하이즈항공,221840,항공기 부품 제조
케이디켐,221980,화학제품
코스맥스엔비티,222040,기타 식품 제조
씨아이에스,222080,특수 목적용 기계 제조
팬젠,222110,의약품 제조
바이옵트로,222160,특수 목적용 기계 제조
쎄노텍,222420,비금속 광물 제조
플럼라인생명과학,222670,연구개발
심텍,222800,전자부품 제조
마이더스AI,222810,소프트웨어 개발
한국맥널티,222980,기타 식품 제조
로지스몬,223220,소프트웨어 개발
드림씨아이에스,223250,연구개발
커머스마이너,223310,소프트웨어 개발
에스케이씨에스,224020,플라스틱제품 제조
코디엠,224060,특수 목적용 기계 제조
에이텍티앤,224110,통신 장비 제조
엔에스컴퍼니,224760,토목 건설
엄지하우스,224810,실내 건축
삼양옵틱스,225190,광학기기 제조
제놀루션,225220,의약물 제조
케이엠제약,225430,화학제품
보광산업,225530,비금속 광물 제조
넥슨게임즈,225570,소프트웨어 개발
패션플랫폼,225590,의복 제조
잇츠한불,226320,화학제품
신테카바이오,226330,소프트웨어 개발
본느,226340,화학제품
KH 건설,226360,토목 건설
오스테오닉,226400,의료기기 제조
한송네오텍,226440,특수 목적용 기계 제조
올릭스,226950,연구개발
에이치앤비디자인,227100,전기 장치 제조
도부마스크,227420,섬유제품 제조
아우딘퓨쳐스,227610,화학제품
현대코퍼레이션홀딩스,227840,음·식료품 도매
엔투텍,227950,특수 목적용 기계 제조
동양파일,228340,"시멘트, 석회, 플라스터"
레이,228670,의료기기 제조
지노믹트리,228760,의료용품 제조
레이언스,228850,의료기기 제조
젠큐릭스,229000,의료용품 제조
노브메타파마,229500,연구개발
LS전선아시아,229640,기타 금융
에치에프알,230240,통신 장비 제조
에코마케팅,230360,광고
에이트원,230980,소프트웨어 개발
와이아이케이,232140,특수 목적용 기계 제조
이엠티,232530,배터리 제조
라온테크,232680,특수 목적용 기계 제조
시큐센,232830,소프트웨어 개발
메디안디노스틱,233250,의료용품 제조
질경이,233990,화학제품
에이원알폼,234070,산업용 기계 및 장비 임대
JW생명과학,234080,의약품 제조
폴라리스세원,234100,자동차 부품
에스트래픽,234300,컴퓨터 시스템 관리
세틀뱅크,234340,서비스
녹십자웰빙,234690,의약품 제조
자이글,234920,가정용 기기 제조
메드팩토,235980,연구개발
씨알푸드,236030,곡물가공품 제조
슈프리마,236200,통신 장비 제조
메디젠휴먼케어,236340,연구개발
엔비티,236810,광고
에스티팜,237690,의약품 제조
피앤씨테크,237750,전기 장치 제조
플레이디,237820,광고
클리오,237880,화학제품
앤디포스,238090,플라스틱제품 제조
얼라인드,238120,광학기기 제조
엔에스엠,238170,합성고무 및 플라스틱 제조
비피도,238200,기타 식품 제조
힘스,238490,특수 목적용 기계 제조
로보쓰리,238500,과학 및 기술 서비스
줌인터넷,239340,인터넷 정보매개 서비스
에이치엘사이언스,239610,기타 식품 제조
피엔에이치테크,239890,화학물질 제조
인터코스,240340,화학제품
원익IPS,240810,특수 목적용 기계 제조
DSC인베스트먼트,241520,신탁 및 집합투자
두산밥캣,241560,특수 목적용 기계 제조
화승엔터프라이즈,241590,신발 제조
유니테크노,241690,자동차 부품
코스메카코리아,241710,화학제품
메카로,241770,화학제품
오션브릿지,241790,특수 목적용 기계 제조
피씨엘,241820,의료용품 제조
에이스토리,241840,방송 컨텐츠 제작
나무기술,242040,소프트웨어 개발
피엔아이컴퍼니,242350,방송 컨텐츠 제작
휴온스,243070,의약품 제조
신흥에스이씨,243840,배터리 제조
굿센,243870,컴퓨터 시스템 관리
올리패스,244460,의약물 제조
나눔테크,244880,의료기기 제조
에이플러스에셋,244920,보험
씨앤에스링크,245450,통신 장비 제조
EDGC,245620,연구개발
에스엘에스바이오,246250,과학기술 서비스
TS인베스트먼트,246690,신탁 및 집합투자
티앤알바이오팹,246710,의약물 제조
아스타,246720,의료용품 제조
이노테라피,246960,의료용품 제조
에코프로비엠,247540,배터리 제조
나노씨엠에스,247660,전자부품 제조
젬,248020,조명장치
솔루엠,248070,전자부품 제조
샘표식품,248170,기타 식품 제조
일동제약,249420,의약품 제조
보라티알,250000,음·식료품 도매
진코스텍,250030,화학제품
모비스,250060,컴퓨터 시스템 관리
예선테크,250930,플라스틱제품 제조
바이오에프디엔씨,251120,의약물 제조
넷마블,251270,소프트웨어 개발
안지오랩,251280,연구개발
와이엠티,251370,화학물질 제조
브이원텍,251630,특수 목적용 기계 제조
펌텍코리아,251970,플라스틱제품 제조
세화피앤씨,252500,화학제품
샘씨엔에스,252990,전자부품 제조
스튜디오드래곤,253450,방송 컨텐츠 제작
네오셈,253590,특수 목적용 기계 제조
루트락,253610,전문 도매
수젠텍,253840,의료용품 제조
자비스,254120,특수 목적용 기계 제조
제이엠멀티,254160,목재 가공
SG,255220,비금속 광물 제조
야스,255440,특수 목적용 기계 제조
한독크린텍,256150,일반 목적용 기계 제조
포인트엔지니어링,256630,금속 가공
한국비엔씨,256840,의약물 제조
케이피에스,256940,특수 목적용 기계 제조
명성티엔에스,257370,특수 목적용 기계 제조
실리콘투,257720,상품 종합 도매
나우코스,257990,화학제품
테크트랜스,258050,금속 가공
셀젠텍,258250,소프트웨어 개발
스템랩,258540,연구개발
케일럼,258610,구조용 금속제품 제조
소프트캠프,258790,소프트웨어 개발
세종메디칼,258830,의료기기 제조
엠플러스,259630,특수 목적용 기계 제조
크래프톤,259960,소프트웨어 개발
알리코제약,260660,의료용품 제조
SK시그넷,260870,전기 장치 제조
씨티케이,260930,화학제품
에스앤디,260970,기타 식품 제조
덴티스,261200,의료기기 제조
차백신연구소,261780,연구개발
에이프로,262260,전기장비 제조
아이퀘스트,262840,소프트웨어 개발
디케이앤디,263020,플라스틱제품 제조
유틸렉스,263050,의약물 제조
어스앤에어로스페이스,263540,항공기 부품 제조
덕우전자,263600,전자부품 제조
디알젬,263690,의료기기 제조
케어랩스,263700,소프트웨어 개발
디앤씨미디어,263720,인쇄물 출판
펄어비스,263750,소프트웨어 개발
유에스티,263770,1차 철강
데이타솔루션,263800,기계장비 도매
상신전자,263810,전자부품 제조
지니언스,263860,소프트웨어 개발
휴온스블러썸,263920,기타 제품 제조
유비쿼스,264450,통신 장비 제조
씨앤지하이테크,264660,특수 목적용 기계 제조
이랜시스,264850,전자부품 제조
크라운제과,264900,기타 식품 제조
AP시스템,265520,특수 목적용 기계 제조
영화테크,265560,자동차 부품
엔에프씨,265740,화학제품
뿌리깊은나무들,266170,방송 컨텐츠 제작
바이오인프라생명과학,266470,연구개발
파워풀엑스,266870,생활용품 도매
명진홀딩스,267060,수산물 가공
HD현대,267250,석유 정제품 제조
현대일렉트릭,267260,전기 장치 제조
현대건설기계,267270,일반 목적용 기계 제조
경동도시가스,267290,연료용 가스 제조 및 배관
나인테크,267320,특수 목적용 기계 제조
배럴,267790,의복 제조
앙츠,267810,컴퓨터 및 통신장비 수리
아시아나IDT,267850,컴퓨터 시스템 관리
매일유업,267980,유제품 및 빙과류 제조
미원에스씨,268280,화학물질 제조
셀리버리,268600,연구개발
시스웍,269620,정밀기기 제조
에스알바이오텍,270210,화학제품
지엔원에너지,270520,건축기술
에브리봇,270660,가정용 기기 제조
뉴트리,270870,기타 식품 제조
오리온,271560,기타 식품 제조
다이오진,271850,연구개발
일진하이솔루스,271940,운송장비 제조
제일약품,271980,의약품 제조
케이엔제이,272110,특수 목적용 기계 제조
한화시스템,272210,전자부품 제조
이녹스첨단소재,272290,전자부품 제조
진에어,272450,항공 여객 운송
삼양패키징,272550,플라스틱제품 제조
와이즈버즈,273060,광고
와이엠텍,273640,전기 장치 제조
켄코아에어로스페이스,274090,항공기 부품 제조
에스에스알,275630,소프트웨어 개발
스코넥,276040,소프트웨어 개발
엘리비젼,276240,영상 및 음향기기 제조
제주맥주,276730,알코올 음료
린드먼아시아,277070,신탁 및 집합투자
인산가,277410,기타 식품 제조
레인보우로보틱스,277810,특수 목적용 기계 제조
티에스아이,277880,특수 목적용 기계 제조
천보,278280,화학물질 제조
노터스,278650,연구개발
EMB,278990,전기 장치 제조
이노벡스,279060,전자부품 제조
미디어젠,279600,소프트웨어 개발
롯데제과,280360,기타 식품 제조
바이오시네틱스,281310,연구개발
레이크머티리얼즈,281740,화학제품
케이씨텍,281820,정밀기기 제조
BGF리테일,282330,종합 소매
동아타이어,282690,고무제품 제조
코윈테크,282880,특수 목적용 기계 제조
카이노스메드,284620,연구개발
쿠쿠홈시스,284740,가정용품 임대
SK케미칼,285130,합성고무 및 플라스틱 제조
노바텍,285490,기타 제품 제조
라이프사이언스테크놀로지,285770,소프트웨어 개발
씨엔티드림,286000,화학제품
나노브릭,286750,화학물질 제조
롯데정보통신,286940,컴퓨터 시스템 관리
제이시스메디칼,287410,의료기기 제조
브릿지바이오,288330,의약물 제조
나라소프트,288490,소프트웨어 개발
에스퓨얼셀,288620,전기 장치 제조
모아데이타,288980,소프트웨어 개발
아이스크림에듀,289010,인쇄물 출판
SV인베스트먼트,289080,기타 금융
자이언트스텝,289220,방송 컨텐츠 제작
트윔,290090,소프트웨어 개발
대유에이피,290120,자동차 부품
휴네시온,290270,소프트웨어 개발
대유,290380,농업 제품 제조
코리아센터,290510,소프트웨어 개발
신도기연,290520,특수 목적용 기계 제조
디케이티,290550,전자부품 제조
엘앤씨바이오,290650,의약품 제조
네오펙트,290660,의료기기 제조
대보마그네틱,290670,전기장비 제조
소룩스,290690,조명장치
푸드나무,290720,무점포 소매
액트로,290740,전자부품 제조
엔피,291230,사업지원 서비스
압타머사이언스,291650,연구개발
하나제약,293480,의약품 제조
카카오게임즈,293490,소프트웨어 개발
나우IB,293580,기타 금융
압타바이오,293780,연구개발
신한알파리츠,293940,부동산
이오플로우,294090,의료기기 제조
레몬,294140,화학섬유 제조
쿠콘,294570,서비스
서남,294630,전기장비 제조
HDC현대산업개발,294870,건물 건설
씨에스베어링,297090,일반 목적용 기계 제조
알로이스,297570,통신 장비 제조
HB솔루션,297890,특수 목적용 기계 제조
효성화학,298000,화학물질 제조
효성티앤씨,298020,화학섬유 제조
효성중공업,298040,전기 장치 제조
효성첨단소재,298050,화학섬유 제조
에스씨엠생명과학,298060,의약품 제조
에이비엘바이오,298380,의약물 제조
더네이쳐홀딩스,298540,의복 액세서리 제조
에어부산,298690,항공 여객 운송
다올인베스트먼트,298870,기타 금융
하나기술,299030,특수 목적용 기계 제조
더블유에스아이,299170,생활용품 도매
지앤이헬스케어,299480,섬유제품 제조
셀리드,299660,연구개발
에스엠비나,299670,의복 제조
위지윅스튜디오,299900,방송 컨텐츠 제작
베스파,299910,소프트웨어 개발
플리토,300080,인터넷 정보매개 서비스
라온피플,300120,소프트웨어 개발
한일시멘트,300720,"시멘트, 석회, 플라스터"
바이브컴퍼니,301300,소프트웨어 개발
이노메트리,302430,특수 목적용 기계 제조
SK바이오사이언스,302440,의약물 제조
리메드,302550,의료기기 제조
더콘텐츠온,302920,방송 컨텐츠 제작
지니틱스,303030,반도체 제조
프로테옴텍,303360,의료용품 제조
이노뎁,303530,소프트웨어 개발
솔트룩스,304100,소프트웨어 개발
피플바이오,304840,의료용품 제조
마이크로디지탈,305090,의료기기 제조
에스제이그룹,306040,"가죽, 가방 제조"
세아제강,306200,1차 철강
네온테크,306620,특수 목적용 기계 제조
아이엘사이언스,307180,조명장치
원바이오젠,307280,의료용품 제조
국전약품,307750,의약품 제조
비투엔,307870,소프트웨어 개발
컴퍼니케이,307930,기타 금융
현대오토에버,307950,소프트웨어 개발
바이젠셀,308080,연구개발
까스텔바작,308100,의류 소매업
센트랄모텍,308170,자동차 부품
테크엔,308700,조명장치
티티씨디펜스,309900,과학 및 기술 서비스
오하임아이엔티,309930,생활용품 소매
애니플러스,310200,방송 컨텐츠 제작
디와이씨,310870,자동차 부품
엘에이티,311060,특수 목적용 기계 제조
지오엘리먼트,311320,전자부품 제조
네오크레마,311390,기타 식품 제조
CJ 바이오사이언스,311690,연구개발
에이에프더블류,312610,배터리 제조
윌링스,313760,전기 장치 제조
지놈앤컴퍼니,314130,의약물 제조
바이오다인,314930,의료기기 제조
딥노이드,315640,소프트웨어 개발
우리금융지주,316140,기타 금융
라닉스,317120,반도체 제조
TS트릴리온,317240,화학제품
덕산테코피아,317330,화학제품
자이에스앤디,317400,부동산
캐리소프트,317530,방송 컨텐츠 제작
퀀타매트릭스,317690,의료기기 제조
슈프리마아이디,317770,전자부품 제조
에스피시스템스,317830,특수 목적용 기계 제조
대모,317850,특수 목적용 기계 제조
노드메이슨,317860,화학제품
엔바이오니아,317870,기타 제품 제조
KBG,318000,합성고무 및 플라스틱 제조
팜스빌,318010,기타 식품 제조
포인트모바일,318020,컴퓨터 주변장치 제조
비비씨,318410,기타 제품 제조
타임기술,318660,소프트웨어 개발
현대무벡스,319400,일반 목적용 기계 제조
피에스케이,319660,특수 목적용 기계 제조
윈텍,320000,특수 목적용 기계 제조
프로이천,321260,반도체 제조
티움바이오,321550,연구개발
와이더플래닛,321820,소프트웨어 개발
현대에너지솔루션,322000,반도체 제조
티라유텍,322180,소프트웨어 개발
베른,322190,자동차 차체 제조
오로스테크놀로지,322310,특수 목적용 기계 제조
제이엘케이,322510,소프트웨어 개발
코퍼스코리아,322780,방송 컨텐츠 제작
무진메디,322970,연구개발
엠에프엠코리아,323230,편조의복 제조
신영스팩5호,323280,금융 지원
다원넥스뷰,323350,광학기기 제조
카카오뱅크,323410,은행
박셀바이오,323990,연구개발
에스케이바이오팜,326030,연구개발
RF머트리얼즈,327260,전자부품 제조
펨토바이오메드,327610,연구개발
미래에셋대우스팩3호,328380,금융 지원
오션스톤,329020,음·식료품 도매
현대중공업,329180,선박 건조
위더스제약,330350,의약품 제조
롯데리츠,330590,부동산
스톤브릿지벤처스,330730,기타 금융
네패스아크,330860,과학 및 기술 서비스
케이비제19호스팩,330990,금융 지원
포커스에이치엔에스,331380,영상 및 음향기기 제조
교보9호스팩,331520,금융 지원
한국미라클피플사,331660,화학제품
셀레믹스,331920,의약물 제조
누보,332290,농업 제품 제조
아이디피,332370,컴퓨터 주변장치 제조
와이팜,332570,전자부품 제조
하나금융14호스팩,332710,금융 지원
신한제6호스팩,333050,금융 지원
일승,333430,선박 건조
엔시스,333620,전기장비 제조
